Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Cyprus,896007,13/01/23,638062,71.21
Cyprus,896007,14/01/23,638062,71.21
Cyprus,896007,06/01/23,634709,70.84
Cyprus,896007,07/01/23,634709,70.84
Cyprus,896007,08/01/23,634709,70.84
Cyprus,896007,09/01/23,634709,70.84
Cyprus,896007,10/01/23,634709,70.84
Cyprus,896007,11/01/23,634709,70.84
Cyprus,896007,12/01/23,634709,70.84
Cyprus,896007,30/12/22,631111,70.44
Cyprus,896007,31/12/22,631111,70.44
Cyprus,896007,01/01/23,631111,70.44
Cyprus,896007,02/01/23,631111,70.44
Cyprus,896007,03/01/23,631111,70.44
Cyprus,896007,04/01/23,631111,70.44
Cyprus,896007,05/01/23,631111,70.44
Cyprus,896007,23/12/22,628509,70.15
Cyprus,896007,24/12/22,628509,70.15
Cyprus,896007,25/12/22,628509,70.15
Cyprus,896007,26/12/22,628509,70.15
Cyprus,896007,27/12/22,628509,70.15
Cyprus,896007,28/12/22,628509,70.15
Cyprus,896007,29/12/22,628509,70.15
Cyprus,896007,16/12/22,625562,69.82
Cyprus,896007,17/12/22,625562,69.82
Cyprus,896007,18/12/22,625562,69.82
Cyprus,896007,19/12/22,625562,69.82
Cyprus,896007,20/12/22,625562,69.82
Cyprus,896007,21/12/22,625562,69.82
Cyprus,896007,22/12/22,625562,69.82
Cyprus,896007,09/12/22,622102,69.43
Cyprus,896007,10/12/22,622102,69.43
Cyprus,896007,11/12/22,622102,69.43
Cyprus,896007,12/12/22,622102,69.43
Cyprus,896007,13/12/22,622102,69.43
Cyprus,896007,14/12/22,622102,69.43
Cyprus,896007,15/12/22,622102,69.43
Cyprus,896007,02/12/22,618248,69
Cyprus,896007,03/12/22,618248,69
Cyprus,896007,04/12/22,618248,69
Cyprus,896007,05/12/22,618248,69
Cyprus,896007,06/12/22,618248,69
Cyprus,896007,07/12/22,618248,69
Cyprus,896007,08/12/22,618248,69
Cyprus,896007,25/11/22,614237,68.55
Cyprus,896007,26/11/22,614237,68.55
Cyprus,896007,27/11/22,614237,68.55
Cyprus,896007,28/11/22,614237,68.55
Cyprus,896007,29/11/22,614237,68.55
Cyprus,896007,30/11/22,614237,68.55
Cyprus,896007,01/12/22,614237,68.55
Cyprus,896007,18/11/22,610023,68.08
Cyprus,896007,19/11/22,610023,68.08
Cyprus,896007,20/11/22,610023,68.08
Cyprus,896007,21/11/22,610023,68.08
Cyprus,896007,22/11/22,610023,68.08
Cyprus,896007,23/11/22,610023,68.08
Cyprus,896007,24/11/22,610023,68.08
Cyprus,896007,12/11/22,606287,67.67
Cyprus,896007,13/11/22,606287,67.67
Cyprus,896007,14/11/22,606287,67.67
Cyprus,896007,15/11/22,606287,67.67
Cyprus,896007,16/11/22,606287,67.67
Cyprus,896007,17/11/22,606287,67.67
Cyprus,896007,04/11/22,602662,67.26
Cyprus,896007,05/11/22,602662,67.26
Cyprus,896007,06/11/22,602662,67.26
Cyprus,896007,07/11/22,602662,67.26
Cyprus,896007,08/11/22,602662,67.26
Cyprus,896007,09/11/22,602662,67.26
Cyprus,896007,10/11/22,602662,67.26
Cyprus,896007,11/11/22,602662,67.26
Cyprus,896007,28/10/22,599118,66.87
Cyprus,896007,29/10/22,599118,66.87
Cyprus,896007,30/10/22,599118,66.87
Cyprus,896007,31/10/22,599118,66.87
Cyprus,896007,01/11/22,599118,66.87
Cyprus,896007,02/11/22,599118,66.87
Cyprus,896007,03/11/22,599118,66.87
Cyprus,896007,21/10/22,596297,66.55
Cyprus,896007,22/10/22,596297,66.55
Cyprus,896007,23/10/22,596297,66.55
Cyprus,896007,24/10/22,596297,66.55
Cyprus,896007,25/10/22,596297,66.55
Cyprus,896007,26/10/22,596297,66.55
Cyprus,896007,27/10/22,596297,66.55
Cyprus,896007,14/10/22,593542,66.24
Cyprus,896007,15/10/22,593542,66.24
Cyprus,896007,16/10/22,593542,66.24
Cyprus,896007,17/10/22,593542,66.24
Cyprus,896007,18/10/22,593542,66.24
Cyprus,896007,19/10/22,593542,66.24
Cyprus,896007,20/10/22,593542,66.24
Cyprus,896007,07/10/22,590783,65.94
Cyprus,896007,08/10/22,590783,65.94
Cyprus,896007,09/10/22,590783,65.94
Cyprus,896007,10/10/22,590783,65.94
Cyprus,896007,11/10/22,590783,65.94
Cyprus,896007,12/10/22,590783,65.94
Cyprus,896007,13/10/22,590783,65.94
Cyprus,896007,30/09/22,587994,65.62
Cyprus,896007,01/10/22,587994,65.62
Cyprus,896007,02/10/22,587994,65.62
Cyprus,896007,03/10/22,587994,65.62
Cyprus,896007,04/10/22,587994,65.62
Cyprus,896007,05/10/22,587994,65.62
Cyprus,896007,06/10/22,587994,65.62
Cyprus,896007,23/09/22,585313,65.32
Cyprus,896007,24/09/22,585313,65.32
Cyprus,896007,25/09/22,585313,65.32
Cyprus,896007,26/09/22,585313,65.32
Cyprus,896007,27/09/22,585313,65.32
Cyprus,896007,28/09/22,585313,65.32
Cyprus,896007,29/09/22,585313,65.32
Faeroe Islands,53117,02/03/22,34658,65.25
Faeroe Islands,53117,03/03/22,34658,65.25
Faeroe Islands,53117,04/03/22,34658,65.25
Faeroe Islands,53117,05/03/22,34658,65.25
Faeroe Islands,53117,06/03/22,34658,65.25
Faeroe Islands,53117,07/03/22,34658,65.25
Faeroe Islands,53117,08/03/22,34658,65.25
Faeroe Islands,53117,09/03/22,34658,65.25
Faeroe Islands,53117,10/03/22,34658,65.25
Faeroe Islands,53117,11/03/22,34658,65.25
Faeroe Islands,53117,12/03/22,34658,65.25
Faeroe Islands,53117,13/03/22,34658,65.25
Faeroe Islands,53117,14/03/22,34658,65.25
Faeroe Islands,53117,15/03/22,34658,65.25
Faeroe Islands,53117,16/03/22,34658,65.25
Faeroe Islands,53117,17/03/22,34658,65.25
Faeroe Islands,53117,18/03/22,34658,65.25
Faeroe Islands,53117,19/03/22,34658,65.25
Faeroe Islands,53117,20/03/22,34658,65.25
Faeroe Islands,53117,21/03/22,34658,65.25
Faeroe Islands,53117,22/03/22,34658,65.25
Faeroe Islands,53117,23/03/22,34658,65.25
Faeroe Islands,53117,24/03/22,34658,65.25
Faeroe Islands,53117,25/03/22,34658,65.25
Faeroe Islands,53117,26/03/22,34658,65.25
Faeroe Islands,53117,27/03/22,34658,65.25
Faeroe Islands,53117,28/03/22,34658,65.25
Faeroe Islands,53117,29/03/22,34658,65.25
Faeroe Islands,53117,30/03/22,34658,65.25
Faeroe Islands,53117,31/03/22,34658,65.25
Faeroe Islands,53117,01/04/22,34658,65.25
Faeroe Islands,53117,02/04/22,34658,65.25
Faeroe Islands,53117,03/04/22,34658,65.25
Faeroe Islands,53117,04/04/22,34658,65.25
Faeroe Islands,53117,05/04/22,34658,65.25
Faeroe Islands,53117,06/04/22,34658,65.25
Faeroe Islands,53117,07/04/22,34658,65.25
Faeroe Islands,53117,08/04/22,34658,65.25
Faeroe Islands,53117,09/04/22,34658,65.25
Faeroe Islands,53117,10/04/22,34658,65.25
Faeroe Islands,53117,11/04/22,34658,65.25
Faeroe Islands,53117,12/04/22,34658,65.25
Faeroe Islands,53117,13/04/22,34658,65.25
Faeroe Islands,53117,14/04/22,34658,65.25
Faeroe Islands,53117,15/04/22,34658,65.25
Faeroe Islands,53117,16/04/22,34658,65.25
Faeroe Islands,53117,17/04/22,34658,65.25
Faeroe Islands,53117,18/04/22,34658,65.25
Faeroe Islands,53117,19/04/22,34658,65.25
Faeroe Islands,53117,20/04/22,34658,65.25
Faeroe Islands,53117,21/04/22,34658,65.25
Faeroe Islands,53117,22/04/22,34658,65.25
Faeroe Islands,53117,23/04/22,34658,65.25
Faeroe Islands,53117,24/04/22,34658,65.25
Faeroe Islands,53117,25/04/22,34658,65.25
Faeroe Islands,53117,26/04/22,34658,65.25
Faeroe Islands,53117,27/04/22,34658,65.25
Faeroe Islands,53117,28/04/22,34658,65.25
Faeroe Islands,53117,29/04/22,34658,65.25
Faeroe Islands,53117,30/04/22,34658,65.25
Faeroe Islands,53117,01/05/22,34658,65.25
Faeroe Islands,53117,02/05/22,34658,65.25
Faeroe Islands,53117,03/05/22,34658,65.25
Faeroe Islands,53117,04/05/22,34658,65.25
Faeroe Islands,53117,05/05/22,34658,65.25
Faeroe Islands,53117,06/05/22,34658,65.25
Faeroe Islands,53117,07/05/22,34658,65.25
Faeroe Islands,53117,08/05/22,34658,65.25
Faeroe Islands,53117,09/05/22,34658,65.25
Faeroe Islands,53117,10/05/22,34658,65.25
Faeroe Islands,53117,11/05/22,34658,65.25
Faeroe Islands,53117,12/05/22,34658,65.25
Faeroe Islands,53117,13/05/22,34658,65.25
Faeroe Islands,53117,14/05/22,34658,65.25
Faeroe Islands,53117,15/05/22,34658,65.25
Faeroe Islands,53117,16/05/22,34658,65.25
Faeroe Islands,53117,17/05/22,34658,65.25
Faeroe Islands,53117,18/05/22,34658,65.25
Faeroe Islands,53117,19/05/22,34658,65.25
Faeroe Islands,53117,20/05/22,34658,65.25
Faeroe Islands,53117,21/05/22,34658,65.25
Faeroe Islands,53117,22/05/22,34658,65.25
Faeroe Islands,53117,23/05/22,34658,65.25
Faeroe Islands,53117,24/05/22,34658,65.25
Faeroe Islands,53117,25/05/22,34658,65.25
Faeroe Islands,53117,26/05/22,34658,65.25
Faeroe Islands,53117,27/05/22,34658,65.25
Faeroe Islands,53117,28/05/22,34658,65.25
Faeroe Islands,53117,29/05/22,34658,65.25
Faeroe Islands,53117,30/05/22,34658,65.25
Faeroe Islands,53117,31/05/22,34658,65.25
Faeroe Islands,53117,01/06/22,34658,65.25
Faeroe Islands,53117,02/06/22,34658,65.25
Faeroe Islands,53117,03/06/22,34658,65.25
Faeroe Islands,53117,04/06/22,34658,65.25
Faeroe Islands,53117,05/06/22,34658,65.25
Faeroe Islands,53117,06/06/22,34658,65.25
Faeroe Islands,53117,07/06/22,34658,65.25
Faeroe Islands,53117,08/06/22,34658,65.25
Faeroe Islands,53117,09/06/22,34658,65.25
Faeroe Islands,53117,10/06/22,34658,65.25
Faeroe Islands,53117,11/06/22,34658,65.25
Faeroe Islands,53117,12/06/22,34658,65.25
Faeroe Islands,53117,13/06/22,34658,65.25
Faeroe Islands,53117,14/06/22,34658,65.25
